npseudo,min_partner,min_state,min_country,lambda,spearman_mean,kendall_mean,top1_mean,top3_mean,ndcg_mean
2,1,5,5,10,0.3715232117192902,0.2779101556879335,0.14814814814814814,0.9629629629629629,0.7174794926400717
1,5,3,2,10,0.3745084617633638,0.2778252611585945,0.14814814814814814,0.8888888888888888,0.7116781442369878
0.5,3,1,1,1,0.3762747419610165,0.27744683300238854,0.18518518518518517,0.8518518518518519,0.7211458317901727
1,3,1,3,10,0.39003316944493416,0.27735762180206625,0.14814814814814814,0.8888888888888888,0.7068510315158949
1,5,1,2,10,0.3858216220961319,0.277235316124205,0.14814814814814814,0.8888888888888888,0.7069040950088933
2,5,1,5,10,0.38404311737645075,0.277235316124205,0.14814814814814814,0.8888888888888888,0.7095502019674561
1,2,1,5,10,0.3861533890945656,0.2772338772338772,0.14814814814814814,0.8888888888888888,0.7119244643648179
1,5,3,1,10,0.3719779857034759,0.2771475438142105,0.14814814814814814,0.8888888888888888,0.7124528278342185
0.5,1,5,5,10,0.3795686158431257,0.27712020489798267,0.14814814814814814,0.8888888888888888,0.7180341246399894
0.5,1,1,1,10,0.38055775016559334,0.27706696595585484,0.18518518518518517,0.8888888888888888,0.717533996423406
1,3,5,5,10,0.3761649751845831,0.2769201991424214,0.18518518518518517,0.9259259259259259,0.724642402653709
2,2,3,5,10,0.38244486087623347,0.2768871046648824,0.18518518518518517,0.8888888888888888,0.7205567748375579
1,2,3,2,10,0.3794896098817668,0.27680364902587123,0.18518518518518517,0.9259259259259259,0.7236359758842469
2,3,5,2,1,0.37733729596474697,0.2766885377996489,0.2222222222222222,0.8888888888888888,0.7432303578651127
1,2,3,5,10,0.38439015595878345,0.2766352988575211,0.18518518518518517,0.9259259259259259,0.7240572602824621
1,1,5,2,10,0.3740157083294338,0.27662090995424327,0.14814814814814814,0.9259259259259259,0.720259041665322
2,2,1,5,10,0.3826260522338954,0.2765374543152321,0.14814814814814814,0.8518518518518519,0.7071963103258971
2,2,1,2,10,0.37832316557806756,0.2765288209732654,0.14814814814814814,0.9259259259259259,0.7112045757891924
1,2,3,3,10,0.3853521569207844,0.27646263201818755,0.18518518518518517,0.9259259259259259,0.7238649167921167
2,1,5,3,10,0.3714205910284342,0.2763432041209819,0.14814814814814814,0.9629629629629629,0.717059438887025
1,1,3,1,10,0.377620201149613,0.27613168724279835,0.18518518518518517,0.8888888888888888,0.7237193904188989
2,5,5,5,10,0.36662850584419215,0.2760726927393594,0.14814814814814814,0.9259259259259259,0.7190101251257439
1,5,1,1,10,0.38284311911762897,0.2759403148292037,0.14814814814814814,0.8888888888888888,0.707268845495297
1,5,1,3,10,0.38757955914818665,0.275892831448387,0.14814814814814814,0.8888888888888888,0.7053910460957823
0.5,3,5,3,10,0.3772126928989674,0.2757662090995424,0.18518518518518517,0.8888888888888888,0.7265367523760456
2,3,1,5,10,0.3861357596651715,0.2755575700020144,0.14814814814814814,0.8888888888888888,0.707852529720527
2,3,3,3,10,0.38576964067160147,0.275475553253331,0.18518518518518517,0.9259259259259259,0.7183134463624514
1,3,3,2,10,0.38117158803433315,0.2752712308267864,0.18518518518518517,0.9259259259259259,0.7236933938389842
1,3,3,5,10,0.3846731336927416,0.27500935278713057,0.18518518518518517,0.9259259259259259,0.7162536219978102
2,3,5,5,10,0.36816774365793975,0.27495611384500274,0.18518518518518517,0.9259259259259259,0.7263332750405003
2,5,3,3,10,0.37373940511195414,0.2749100693545138,0.14814814814814814,0.9259259259259259,0.7117592666606027
2,3,3,1,10,0.3809351505429937,0.27484531928976375,0.18518518518518517,0.9259259259259259,0.7201743156635785
1,1,5,1,10,0.3730786279805888,0.2745402745402745,0.14814814814814814,0.8888888888888888,0.7193896512447246
1,3,3,3,10,0.384881821156331,0.27437336326225215,0.18518518518518517,0.9259259259259259,0.7170484542133758
2,5,3,5,10,0.37142813613401854,0.27431149097815766,0.14814814814814814,0.9259259259259259,0.7121634592586777
1,3,1,5,10,0.3849907173436586,0.27427551871996314,0.14814814814814814,0.8888888888888888,0.705833352975694
0.5,1,1,5,10,0.3821914106227832,0.27419637975193534,0.18518518518518517,0.8888888888888888,0.719097772824153
1,1,3,2,10,0.3786780757368993,0.27418486862931307,0.2222222222222222,0.9259259259259259,0.7311977208760692
1,3,5,1,1,0.3737070844913982,0.27415177415177416,0.2222222222222222,0.8148148148148148,0.7366795271579654
