season,alpha,s0_entropy,mean_abs_rank_diff,mean_sq_rank_diff,weekly_elim_match_rate,finals_order_match,placement_match_rate,elim_week_mae,objective,mean_abs_rank_diff_mean,mean_abs_rank_diff_std,mean_sq_rank_diff_mean,mean_sq_rank_diff_std,weekly_elim_match_rate_mean,weekly_elim_match_rate_std,finals_order_match_mean,finals_order_match_std,placement_match_rate_mean,placement_match_rate_std,elim_week_mae_mean,elim_week_mae_std,alpha_p10,alpha_p50,alpha_p90,s0_entropy_p10,s0_entropy_p50,s0_entropy_p90,mean_sq_rank_diff_p10,mean_sq_rank_diff_p50,mean_sq_rank_diff_p90,weekly_elim_match_rate_p10,weekly_elim_match_rate_p50,weekly_elim_match_rate_p90
11,0.15416666666666662,2.471808829642191,0.0,0.0,1.0,1.0,1.0,0.0,-0.04943617659284383,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.09375000000000001,0.15416666666666662,0.2958333333333333,2.466969823475594,2.470074121816652,2.4740772557345965,0.0,0.0,0.0,1.0,1.0,1.0
12,0.29583333333333334,2.383024431009221,0.0,0.0,1.0,1.0,1.0,0.0,-0.04761504482312045,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333331,0.15416666666666662,0.26041666666666663,2.3724428732882323,2.3759332928355974,2.3810209141697993,0.0,0.0,0.0,1.0,1.0,1.0
13,0.15416666666666662,2.471272049142428,0.0,0.0,1.0,1.0,1.0,0.0,-0.04942492514475945,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.04791666666666665,0.11874999999999997,0.1895833333333333,2.456422079614886,2.4644876758564482,2.4689422553663283,0.0,0.0,0.0,1.0,1.0,1.0
14,0.012499999999999983,2.475368751832494,0.16666666666666666,0.16666666666666666,1.0,0.0,0.8333333333333334,0.0,0.11715929163001677,0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,-0.09375000000000001,0.012499999999999983,0.15416666666666665,2.459919711023842,2.4666087675290274,2.4737367394630576,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0
15,0.29583333333333334,2.5548989745729376,0.0,0.0,1.0,1.0,1.0,0.0,-0.051027448812174185,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.05833333333333335,0.1895833333333333,0.29583333333333334,2.5374310665229887,2.54591581842059,2.5535820001165037,0.0,0.0,0.0,1.0,1.0,1.0
16,0.08333333333333331,2.4627014322510483,0.0,0.0,1.0,1.0,1.0,0.0,-0.049254028645020966,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.022916666666666682,0.11874999999999997,0.1895833333333333,2.4569967587043338,2.459735190021664,2.462796924075742,0.0,0.0,0.0,1.0,1.0,1.0
17,0.15416666666666662,2.4755115035568624,0.0,0.0,1.0,1.0,1.0,0.0,-0.04949247363135673,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.04791666666666665,0.11874999999999997,0.15416666666666662,2.459338294229978,2.4684939779777437,2.474350380449594,0.0,0.0,0.0,1.0,1.0,1.0
18,0.08333333333333331,2.463975381065201,0.0,0.0,1.0,1.0,1.0,0.0,-0.04927950762130402,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.012499999999999983,0.08333333333333331,0.08333333333333331,2.448767085518787,2.45657217105742,2.463766742446962,0.0,0.0,0.0,1.0,1.0,1.0
19,-0.05833333333333335,2.550487338560816,0.0,0.0,1.0,1.0,1.0,0.0,-0.05100974677121633,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.012499999999999983,0.11874999999999997,0.26041666666666663,2.5261107743487043,2.5393043557838455,2.5476174485400183,0.0,0.0,0.0,1.0,1.0,1.0
20,0.22499999999999998,2.470500156487704,0.16666666666666666,0.16666666666666666,1.0,0.0,0.8333333333333334,0.0,0.11727093944002578,0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.08333333333333331,0.11874999999999997,0.22499999999999998,2.458479650957544,2.4646688338356713,2.470333854418828,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0
21,0.08333333333333331,2.538111694679471,0.46153846153846156,0.6153846153846154,1.0,0.0,0.6153846153846154,0.0,0.564647155320682,0.4615384615384616,5.551115123125783e-17,0.6153846153846154,0.0,1.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,-0.022916666666666682,0.04791666666666665,0.08333333333333331,2.512292335470776,2.52667003663976,2.534568567482983,0.6153846153846154,0.6153846153846154,0.6153846153846154,1.0,1.0,1.0
22,0.012499999999999983,2.468557169694126,0.16666666666666666,0.16666666666666666,1.0,0.0,0.8333333333333334,0.0,0.11729552327278414,0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,-0.05833333333333335,0.04791666666666665,0.11874999999999997,2.450330400805459,2.4550115731163857,2.4635661247148364,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0
