season,week,regime,n_active,k_elim,has_elim,share_entropy,share_entropy_norm,share_hhi,status,hit_set,top1,elim_rank,margin
6,4,percent,9,1,1,1.9684798917995239,0.8958938071710395,0.1693914387942041,ok,1,1.0,1.0,9.99999999945489e-07
6,5,percent,8,1,1,1.8474519455556744,0.8884365867112797,0.18806387814000475,ok,1,1.0,1.0,0.019923252613768178
6,6,percent,7,1,1,1.7366688534193688,0.8924712450173892,0.20395278414850668,ok,1,1.0,1.0,0.007800054325797556
6,7,percent,6,1,1,1.6130016962997713,0.9002333873500901,0.22307390916149414,ok,1,1.0,1.0,0.014009150912911494
6,8,percent,5,1,1,1.4674940624766943,0.9118053272755758,0.252956425420432,ok,1,1.0,1.0,0.10786745885171595
6,9,percent,4,1,1,1.2856999777755318,0.9274364910039051,0.30059331703148906,ok,1,1.0,1.0,0.08049992284403534
6,10,percent,3,0,0,1.0879455590551386,0.9902907242864515,0.340462677414122,ok,1,,,
7,1,percent,13,2,1,2.396692704265188,0.9344015690965268,0.10223803245199302,ok,1,0.0,1.5,9.999999999871223e-07
7,2,percent,11,2,1,2.240289350925673,0.934273225498806,0.11875035645647036,ok,1,0.0,1.5,0.01555989976998673
7,3,percent,9,0,0,2.071439485646526,0.9427527377095937,0.13699000417921028,ok,1,,,
7,4,percent,9,1,1,2.0513475395395426,0.9336084989666694,0.14098728518317813,ok,1,1.0,1.0,9.99999999945489e-07
7,5,percent,8,1,1,1.9379289281140906,0.931946818061821,0.15684775432708659,ok,1,1.0,1.0,0.04439285005597454
7,6,percent,7,1,1,1.8129174430145334,0.9316552688183757,0.1809233085094862,ok,1,1.0,1.0,9.999999999732445e-07
7,7,percent,6,1,1,1.6212127140334949,0.9048160436020819,0.2221900496403527,ok,1,1.0,1.0,0.03551645118795016
7,8,percent,5,1,1,1.4391787930574667,0.8942120612039423,0.2660680018448158,ok,1,1.0,1.0,0.042940555017801696
7,9,percent,4,1,1,1.2287468520320064,0.8863534949672504,0.3245303730494924,ok,1,1.0,1.0,0.005201405016504346
7,10,percent,3,0,0,0.9832417945528125,0.8949852506609357,0.39846246158396087,ok,1,,,
8,1,percent,13,0,0,2.3591667500599836,0.9197712786013011,0.10981856458172398,ok,1,,,
8,2,percent,13,1,1,2.353781010171374,0.9176715334843295,0.11085524778558672,ok,1,1.0,1.0,0.007458492395000335
8,3,percent,12,1,1,2.294351091748991,0.9233148021655998,0.11744996415301989,ok,1,1.0,1.0,0.020740728925028762
8,4,percent,11,2,1,2.2193813827273163,0.9255539255212232,0.12848691323703465,ok,1,0.0,1.5,9.99999999945489e-07
8,5,percent,9,1,1,2.0166084473505794,0.9177980567627693,0.15707506844443667,ok,1,1.0,1.0,0.033880571165992884
8,6,percent,8,1,1,1.8802697904683228,0.9042186340806599,0.18421954563168033,ok,1,1.0,1.0,9.999999999177334e-07
8,7,percent,7,1,1,1.7335193556435156,0.890852723331081,0.2097595191746754,ok,1,1.0,1.0,0.0012742388379231306
8,8,percent,6,1,1,1.6204955298409727,0.9044157754830406,0.21936273401972728,ok,1,1.0,1.0,0.010723783068515208
8,9,percent,5,1,1,1.4970213912701265,0.930151688179163,0.23555844853424512,ok,1,1.0,1.0,0.14114948046551995
8,10,percent,4,1,1,1.3356674682828962,0.9634804163842255,0.2753277164570599,ok,1,1.0,1.0,0.03395156033698177
8,11,percent,3,0,0,1.0911150561576195,0.9931757248778097,0.3382355627670692,ok,1,,,
9,1,percent,16,2,1,2.461676580274127,0.8878621486584964,0.11253397798160086,ok,1,0.0,1.5,0.011293161080839664
9,2,percent,14,1,1,2.366544259899393,0.8967384805711688,0.12009340561215762,ok,1,1.0,1.0,0.004438749193363956
9,3,percent,13,2,1,2.3005321653145705,0.8969113400318153,0.1260263200494498,ok,1,0.0,1.5,0.006626362992631085
9,4,percent,11,1,1,2.1684366566791993,0.9043083245869238,0.138547591598649,ok,1,1.0,1.0,1.0000000000148779e-06
9,5,percent,10,1,1,2.0735219733248393,0.9005191511201194,0.15039809338786064,ok,1,1.0,1.0,0.023639822629924187
9,6,percent,9,2,1,1.9680546057869643,0.8957002511654558,0.16808008510562616,ok,1,0.0,1.5,0.017459616307762105
9,7,percent,7,2,1,1.7509118129925147,0.8997906783324683,0.2020073323981622,ok,1,0.0,1.5,9.999999999732445e-07
9,8,percent,5,1,1,1.4685455650417591,0.9124586625530297,0.2527380717535044,ok,1,1.0,1.0,0.02907442666227239
9,9,percent,4,1,1,1.2729475104082288,0.9182375302889519,0.2983709900773781,ok,1,1.0,1.0,0.16138881771383623
9,10,percent,3,0,0,1.0004782956136649,0.9106745900563187,0.40342746759249865,ok,1,,,
10,1,percent,11,0,0,2.2354533074183505,0.9322564387099156,0.11815600061174658,ok,1,,,
10,2,percent,11,1,1,2.222726295197707,0.926948862367855,0.1206191716388487,ok,1,1.0,1.0,0.028686616067875065
10,3,percent,10,1,1,2.141727675171506,0.9301405110664652,0.1319097754793463,ok,1,1.0,1.0,9.99999999945489e-07
10,4,percent,9,1,1,2.027250611325087,0.9226415143156652,0.14799491157231237,ok,1,1.0,1.0,0.014233859538741261
10,5,percent,8,1,1,1.9311985142602928,0.9287101731651529,0.1615065758306894,ok,1,1.0,1.0,9.999999999732445e-07
10,6,percent,7,1,1,1.7831820359407724,0.9163742924134802,0.18628082082660502,ok,1,1.0,1.0,0.02693124127786603
10,7,percent,6,1,1,1.6528918383347122,0.9224964995144291,0.20919149130440295,ok,1,1.0,1.0,0.07193742127013159
10,8,percent,5,1,1,1.4889769319700255,0.9251533845863674,0.2502918380162239,ok,1,1.0,1.0,0.07319384467907503
10,9,percent,4,1,1,1.2849628049916584,0.9269047332441189,0.30390084892617575,ok,1,1.0,1.0,0.03387480540279664
10,10,percent,3,0,0,1.0834743849620334,0.9862208862378296,0.3435267921809101,ok,1,,,
11,1,percent,12,1,1,2.169390545297378,0.873026978893738,0.15501415992638473,ok,1,1.0,1.0,0.01068061635644564
11,2,percent,11,1,1,2.098946810617779,0.875328807904227,0.1638965943431356,ok,1,1.0,1.0,0.007142215438890917
11,3,percent,10,1,1,2.014939081395717,0.875076924421367,0.17454399493971276,ok,1,1.0,1.0,0.019172097146456818
11,4,percent,9,1,1,1.9333486835936227,0.8799049052771365,0.18360300649789502,ok,1,1.0,1.0,1.0000000000287557e-06
11,5,percent,8,1,1,1.8385619137158813,0.8841613850950748,0.19433385529278036,ok,1,1.0,1.0,9.999999999732445e-07
11,6,percent,7,1,1,1.7372670125322753,0.8927786379939853,0.20403068580851857,ok,1,1.0,1.0,1.000000000001e-06
11,7,percent,6,1,1,1.6140886034126047,0.9008400017598365,0.22306463749204125,ok,1,1.0,1.0,0.045092395102604876
11,8,percent,5,1,1,1.4645460801117456,0.9099736428457675,0.25132074804537097,ok,1,1.0,1.0,0.05090410804976714
11,9,percent,4,1,1,1.2786930862650918,0.9223820871868258,0.2940329166288813,ok,1,1.0,1.0,0.17370871736621685
11,10,percent,3,0,0,1.0970941796810738,0.9986181576497051,0.33435162769866267,ok,1,,,
12,1,percent,11,0,0,2.1733103886814757,0.9063408286989941,0.1405373951685433,ok,1,,,
12,2,percent,11,1,1,2.1833126315513045,0.9105120879626049,0.13994782569913694,ok,1,1.0,1.0,1.0000000000287557e-06
12,3,percent,10,1,1,2.1095561531400526,0.916168596573776,0.14964194839519296,ok,1,1.0,1.0,1.000000000001e-06
12,4,percent,9,1,1,1.9611021650454183,0.8925360590235789,0.17786377146707238,ok,1,1.0,1.0,9.999999999732445e-07
12,5,percent,8,1,1,1.8198680306269939,0.8751715276193095,0.20459693928608727,ok,1,1.0,1.0,0.01880552979066169
12,6,percent,7,1,1,1.6911640521431033,0.8690864030716514,0.23129860958614776,ok,1,1.0,1.0,0.05398414131405205
12,7,percent,6,1,1,1.5550157717769153,0.8678708266834855,0.26265434550883077,ok,1,1.0,1.0,1.0000000000842668e-06
12,8,percent,5,1,1,1.4098439066098578,0.8759852714527036,0.2908854299135108,ok,1,1.0,1.0,0.07981534630069181
12,9,percent,4,1,1,1.2472654817416597,0.8997118625903383,0.3264142318445323,ok,1,1.0,1.0,0.13408051023215956
12,10,percent,3,0,0,1.0795206615681323,0.9826220521134685,0.34656650124225685,ok,1,,,
13,1,percent,12,1,1,2.3289211213378302,0.937226805496505,0.10843598460489728,ok,1,1.0,1.0,9.999999999593667e-07
13,2,percent,11,1,1,2.2403094602200335,0.934281611725923,0.11774646890437779,ok,1,1.0,1.0,9.999999999871223e-07
13,3,percent,10,1,1,2.154571694990697,0.9357185979993957,0.12666688816839078,ok,1,1.0,1.0,0.010308743342838836
13,4,percent,9,1,1,2.057874932572949,0.9365792435599781,0.13979210168734754,ok,1,1.0,1.0,0.039198081040052304
13,5,percent,8,1,1,1.929087830029323,0.9276951486075187,0.16322877873239816,ok,1,1.0,1.0,0.04250409269493219
13,6,percent,7,1,1,1.7814695451924278,0.9154942462565824,0.19272756052535434,ok,1,1.0,1.0,1.0000000000842668e-06
13,7,percent,6,1,1,1.6024955835856398,0.894369814200588,0.23552612234058243,ok,1,1.0,1.0,0.06421526805458805
