season,week,celebrity_name,s_share_mean,s_share_std,s_share_p10,s_share_p50,s_share_p90
18,2,Charlie White,0.06578527460881309,0.015139088633114979,0.05436514291430664,0.05892944854218421,0.08269006715662264
18,2,Amy Purdy,0.10742820756005034,0.009059575702883025,0.09829882621978821,0.10636014641177076,0.11741203781893614
18,2,Meryl Davis,0.1296882243642293,0.0065587671835832875,0.12227581902119637,0.13082798461270762,0.13618882150847958
18,2,Drew Carey,0.06551875038592953,0.013704645204280812,0.05016347741986812,0.06771706987965996,0.07911536775700656
18,2,Cody Simpson,0.0750306512445965,0.021248745144537066,0.051895612992212015,0.07602496532874503,0.09737023822966213
18,2,NeNe Leakes,0.08791731841782402,0.007078085222687398,0.08146957054053697,0.08606019266891365,0.09585076689423935
18,3,Billy Dee Williams,0.09570631699149323,0.013826616265319067,0.08393013006018726,0.09073340609004392,0.11146083264395865
18,3,Danica McKellar,0.07105496882936074,0.004164169062863082,0.0665188894212991,0.07135974417263102,0.07534722796280618
18,3,James Maslow,0.06696380285034378,0.005795146753025161,0.0622060103815194,0.06480308062290918,0.07345017310111587
18,3,Candace Cameron Bure,0.1148676860437862,0.013210501559782076,0.09973858347406128,0.1197241067878499,0.12611165201826013
18,3,Sean Avery,0.08094939335732493,0.022990554150074984,0.058133896649677615,0.07770922957264209,0.1063570210927185
18,3,Diana Nyad,0.0,0.0,0.0,0.0,0.0
18,3,Charlie White,0.07207971624740529,0.01421070239965174,0.06227735303170308,0.06489850512156381,0.0876270483637807
18,3,Amy Purdy,0.11407165323639706,0.00938004176549509,0.1039880648223098,0.1142634191831334,0.12400182889309526
18,3,Meryl Davis,0.13657348366126956,0.00810959727202565,0.12774586210283373,0.13758446768935564,0.1445923179972365
18,3,Drew Carey,0.07179890044062416,0.01461741932374703,0.055819444307359446,0.07252445080586953,0.08719791628169259
18,3,Cody Simpson,0.08178406419919135,0.020971777846911073,0.05856102385528195,0.0839884596643109,0.10324358817100511
18,3,NeNe Leakes,0.0941500141428038,0.008703205154984451,0.08601770888140002,0.09235461731904177,0.10371863686321724
18,4,Billy Dee Williams,0.0,0.0,0.0,0.0,0.0
18,4,Danica McKellar,0.09048357250472322,0.005780775108721385,0.08384243560718378,0.09246558378294455,0.09553910037968562
18,4,James Maslow,0.08679244438886764,0.008138069433746734,0.0811470515051203,0.08279517864455599,0.09563564986806429
18,4,Candace Cameron Bure,0.13271203370253856,0.0055163722547216625,0.12774769953686044,0.13161513993248358,0.13855388288426068
18,4,Sean Avery,0.0,0.0,0.0,0.0,0.0
18,4,Diana Nyad,0.0,0.0,0.0,0.0,0.0
18,4,Charlie White,0.09167792901706323,0.01798582423687997,0.08039767832107686,0.08213882569403667,0.11058946237147084
18,4,Amy Purdy,0.1339559730063426,0.0067779533191892625,0.12712580520432243,0.13298019519321397,0.14156676305886567
18,4,Meryl Davis,0.15893479008391032,0.01657207923938182,0.14076752855301441,0.16089937207635907,0.17553038602084717
18,4,Drew Carey,0.09136023111946948,0.013136607495716239,0.07870123721744528,0.0885009602828456,0.1063066416907928
18,4,Cody Simpson,0.10047544765526281,0.014394944850351546,0.08465140729261562,0.10166129787463679,0.11535080784241085
18,4,NeNe Leakes,0.11360757852182213,0.012486377749936405,0.10013876355771197,0.11371334641851935,0.12699177916857451
18,5,Billy Dee Williams,0.0,0.0,0.0,0.0,0.0
18,5,Danica McKellar,0.09091489418981552,0.0034754238106482413,0.08724312422268331,0.092790015211938,0.09308656733924975
18,5,James Maslow,0.08738001497434938,0.006629061924223484,0.08074589640226194,0.08676091052175616,0.09450941710851143
18,5,Candace Cameron Bure,0.1325116606773793,0.005718085763207426,0.12809816280291897,0.13029016854966502,0.1387023522540111
18,5,Sean Avery,0.0,0.0,0.0,0.0,0.0
