season,alpha,s0_entropy,mean_abs_rank_diff,mean_sq_rank_diff,weekly_elim_match_rate,finals_order_match,placement_match_rate,elim_week_mae,objective,mean_abs_rank_diff_mean,mean_abs_rank_diff_std,mean_sq_rank_diff_mean,mean_sq_rank_diff_std,weekly_elim_match_rate_mean,weekly_elim_match_rate_std,finals_order_match_mean,finals_order_match_std,placement_match_rate_mean,placement_match_rate_std,elim_week_mae_mean,elim_week_mae_std,alpha_p10,alpha_p50,alpha_p90,s0_entropy_p10,s0_entropy_p50,s0_entropy_p90,mean_sq_rank_diff_p10,mean_sq_rank_diff_p50,mean_sq_rank_diff_p90,weekly_elim_match_rate_p10,weekly_elim_match_rate_p50,weekly_elim_match_rate_p90
11,0.36666666666666664,2.47161159937001,0.0,0.0,1.0,1.0,1.0,0.0,-0.04937256640326237,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.026666666666666658,0.2958333333333333,0.36666666666666664,2.45694996558707,2.460757667459948,2.4684795107349577,0.0,0.0,0.0,1.0,1.0,1.0
12,0.08333333333333331,2.378459823433184,0.0,0.0,1.0,1.0,1.0,0.0,-0.047569196468663685,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.05833333333333335,0.012499999999999983,0.1825,2.3538430124350693,2.3686030910088807,2.37723405106823,0.0,0.0,0.0,1.0,1.0,1.0
13,0.08333333333333331,2.4671129367393525,0.0,0.0,1.0,1.0,1.0,0.0,-0.04934225873478705,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333331,0.15416666666666665,0.22499999999999998,2.448922222464372,2.4558529736546943,2.464396120326898,0.0,0.0,0.0,1.0,1.0,1.0
14,0.08333333333333331,2.462240811769063,0.16666666666666666,0.16666666666666666,1.0,0.0,0.8333333333333334,0.0,0.11742185043128539,0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,-0.05833333333333335,0.012499999999999983,0.08333333333333331,2.4403710388607136,2.4501923352973263,2.461086120984714,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0
15,0.22499999999999998,2.5385563473671957,0.0,0.0,1.0,1.0,1.0,0.0,-0.05077109490138356,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333331,0.08333333333333331,0.1825,2.514807015216797,2.530085888868513,2.5379118750636587,0.0,0.0,0.0,1.0,1.0,1.0
16,-0.05833333333333335,2.4527096125788193,0.0,0.0,1.0,1.0,1.0,0.0,-0.04905359031249456,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.05833333333333335,-0.05833333333333335,0.04083333333333334,2.4444227874592976,2.4473449857048815,2.451776934159886,0.0,0.0,0.0,1.0,1.0,1.0
17,0.08333333333333331,2.4700575737648776,0.0,0.0,1.0,1.0,1.0,0.0,-0.04940113075579501,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.12583333333333332,0.22499999999999998,0.22499999999999998,2.456018580779669,2.4606836436945754,2.467860458413248,0.0,0.0,0.0,1.0,1.0,1.0
18,-0.05833333333333335,2.4518681603946626,0.0,0.0,1.0,1.0,1.0,0.0,-0.04903736320789325,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.05833333333333335,0.012499999999999983,0.08333333333333331,2.433867783184883,2.4446272756903267,2.45021663439011,0.0,0.0,0.0,1.0,1.0,1.0
19,0.22499999999999998,2.5368984800880603,0.0,0.0,1.0,1.0,1.0,0.0,-0.0506599430882513,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.05833333333333335,0.012499999999999983,0.1825,2.523134962663885,2.5281114033247056,2.5345237563029936,0.0,0.0,0.0,1.0,1.0,1.0
20,-0.05833333333333335,2.4667257492137074,0.16666666666666666,0.16666666666666666,1.0,0.0,0.8333333333333334,0.0,0.1173321516823925,0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,-0.015833333333333345,0.15416666666666665,0.22499999999999998,2.4567160040662013,2.46122541245329,2.4654849225584963,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0
21,-0.05833333333333335,2.5272360344083555,0.46153846153846156,0.6153846153846154,1.0,0.0,0.6153846153846154,0.0,0.564848806540186,0.46153846153846156,0.0,0.6153846153846154,0.0,1.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,-0.05833333333333335,-0.05833333333333335,-0.05833333333333335,2.503076601099633,2.5169465642611164,2.525252146583571,0.6153846153846154,0.6153846153846154,0.6153846153846154,1.0,1.0,1.0
22,0.08333333333333331,2.470512921225426,0.16666666666666666,0.16666666666666666,1.0,0.0,0.8333333333333334,0.0,0.11725756171352206,0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.08333333333333331,0.08333333333333331,0.1825,2.449265676431895,2.456448865579171,2.468135943861917,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0
23,0.08333333333333331,2.5430187967363906,0.15384615384615385,0.15384615384615385,1.0,0.0,0.8461538461538461,0.0,0.10298577791142605,0.15384615384615385,0.0,0.15384615384615385,0.0,1.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,-0.05833333333333335,-0.05833333333333335,0.04083333333333334,2.5257439850123737,2.5327719112468556,2.540316962532395,0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,1.0,1.0
24,-0.05833333333333335,2.4584547689117797,0.16666666666666666,0.16666666666666666,1.0,0.0,0.8333333333333334,0.0,0.11750014262845022,0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,-0.2,-0.12916666666666668,0.14,2.4388946915680245,2.446906694845211,2.455834697792879,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0
25,0.22499999999999998,2.5453381812743014,0.3076923076923077,0.3076923076923077,1.0,0.0,0.6923076923076923,0.0,0.25690786451042785,0.3076923076923077,0.0,0.3076923076923077,0.0,1.0,0.0,0.0,0.0,0.6923076923076923,0.0,0.0,0.0,0.08333333333333331,0.15416666666666665,0.22499999999999998,2.5301249343911802,2.5384028154205622,2.5436915151754564,0.3076923076923077,0.3076923076923077,0.3076923076923077,1.0,1.0,1.0
26,0.36666666666666664,2.287030023634295,0.4,0.4,1.0,0.0,0.6,0.0,0.35426246751770385,0.4,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.026666666666666658,0.2958333333333333,0.4658333333333333,2.2762004595877166,2.2845450092281343,2.2863361558661124,0.4,0.4,0.4,1.0,1.0,1.0
27,0.08333333333333331,2.496626447990009,0.15384615384615385,0.15384615384615385,1.0,0.0,0.8461538461538461,0.0,0.10394173338784102,0.15384615384615385,0.0,0.15384615384615385,0.0,1.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,-0.015833333333333345,0.08333333333333331,0.08333333333333331,2.4849737783457075,2.4876355218819253,2.4943693055769938,0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,1.0,1.0
28,0.08333333333333331,2.376139709031584,0.0,0.0,1.0,1.0,1.0,0.0,-0.0473245769417177,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.12583333333333332,0.22499999999999998,0.32416666666666666,2.346239068821228,2.375010149144891,2.4055847307465577,0.0,0.0,0.0,1.0,1.0,1.0
29,0.08333333333333331,2.6171703432849767,0.13333333333333333,0.13333333333333333,1.0,0.0,0.8666666666666667,0.0,0.08156186920050403,0.33333333333333337,0.11547005383792516,0.33333333333333337,0.11547005383792516,1.0,0.0,0.0,0.0,0.6666666666666666,0.11547005383792518,0.0,0.0,0.08333333333333331,0.15416666666666665,0.32416666666666666,2.6201699774165794,2.6310102032622336,2.657472511010324,0.21333333333333337,0.4,0.4,1.0,1.0,1.0
30,0.08333333333333331,2.596082709772353,0.13333333333333333,0.13333333333333333,1.0,0.0,0.8666666666666667,0.0,0.08166216741927526,0.16666666666666666,0.05773502691896258,0.16666666666666666,0.05773502691896258,1.0,0.0,0.0,0.0,0.8333333333333334,0.05773502691896261,0.0,0.0,0.08333333333333331,0.15416666666666665,0.32416666666666666,2.5774966915915254,2.596364809688332,2.6243547532440425,0.13333333333333333,0.13333333333333333,0.22666666666666668,1.0,1.0,1.0
31,0.22499999999999998,2.707692954030119,0.25,0.25,1.0,0.0,0.75,0.0,0.19634518968296683,0.28125,0.05412658773652741,0.28125,0.05412658773652741,1.0,0.0,0.0,0.0,0.71875,0.05412658773652741,0.0,0.0,0.08333333333333331,0.15416666666666665,0.22499999999999998,2.5213776054416313,2.6752645846292813,2.6989649929216637,0.25,0.25,0.3375,1.0,1.0,1.0
32,0.36666666666666664,2.6140196045528636,0.0,0.0,1.0,1.0,1.0,0.0,-0.05189494356920945,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.12583333333333332,0.2958333333333333,0.36666666666666664,2.5816772524885105,2.5896630019875158,2.607663455683715,0.0,0.0,0.0,1.0,1.0,1.0
33,0.08333333333333331,2.4258781303936536,0.3076923076923077,0.46153846153846156,1.0,0.0,0.7692307692307693,0.0,0.4135426128503004,0.3461538461538462,0.06661733875264912,0.576923076923077,0.12756249193674615,1.0,0.0,0.0,0.0,0.7692307692307693,0.05439282932204212,0.0,0.0,0.08333333333333331,0.08333333333333331,0.1825,2.408417933506572,2.463905622482525,2.5225480645515392,0.46153846153846156,0.5384615384615385,0.7230769230769232,1.0,1.0,1.0
34,0.08333333333333331,2.585183740701606,0.0,0.0,1.0,1.0,1.0,0.0,-0.05159135573663195,0.03571428571428571,0.06185895741317419,0.03571428571428571,0.06185895741317419,1.0,0.0,0.75,0.4330127018922193,0.9642857142857143,0.06185895741317421,0.0,0.0,0.08333333333333331,0.08333333333333331,0.2816666666666667,2.5277683941498372,2.5515540139172517,2.5788456791447043,0.0,0.0,0.10000000000000002,1.0,1.0,1.0
