season,celebrity_name,wiki_title,pop_score,pop_score_end,pop_score_start,pop_score_delta,source,window_start,window_end
14,Roshon Fegan,Roshon Fegan,827,827,702,125,wikipedia_edits_cumulative,2012-03-01,2012-05-03
14,Sherri Sheperd,Shepherd (name),109,109,108,1,wikipedia_edits_cumulative,2012-03-01,2012-05-03
14,William Levy,William Levy (actor),1692,1692,1539,153,wikipedia_edits_cumulative,2012-03-01,2012-05-03
15,Apolo Anton Ohno,Apolo Ohno,1830,1830,1828,2,wikipedia_edits_cumulative,2012-09-01,2012-11-03
15,Bristol Palin,Bristol Palin,1509,1509,1486,23,wikipedia_edits_cumulative,2012-09-01,2012-11-03
15,Drew Lachey,Drew Lachey,346,346,327,19,wikipedia_edits_cumulative,2012-09-01,2012-11-03
15,Emmitt Smith,Emmitt Smith,2151,2151,2124,27,wikipedia_edits_cumulative,2012-09-01,2012-11-03
15,Gilles Marini,Gilles Marini,235,235,227,8,wikipedia_edits_cumulative,2012-09-01,2012-11-03
15,Helio Castroneves,Hélio Castroneves,814,814,808,6,wikipedia_edits_cumulative,2012-09-01,2012-11-03
15,Joey Fatone,Joey Fatone,963,963,945,18,wikipedia_edits_cumulative,2012-09-01,2012-11-03
15,Kelly Monaco,Kelly Monaco,914,914,888,26,wikipedia_edits_cumulative,2012-09-01,2012-11-03
15,Kirstie Alley,Kirstie Alley,1682,1682,1655,27,wikipedia_edits_cumulative,2012-09-01,2012-11-03
15,Melissa Rycroft,Melissa Rycroft,520,520,509,11,wikipedia_edits_cumulative,2012-09-01,2012-11-03
15,Pamela Anderson,Pamela Anderson,5773,5773,5718,55,wikipedia_edits_cumulative,2012-09-01,2012-11-03
15,Sabrina Bryan,Sabrina Bryan,2034,2034,1982,52,wikipedia_edits_cumulative,2012-09-01,2012-11-03
15,Shawn Johnson,Shawn Johnson East,1894,1894,1854,40,wikipedia_edits_cumulative,2012-09-01,2012-11-03
16,Alexandra Raisman,Aly Raisman,746,746,658,88,wikipedia_edits_cumulative,2013-03-01,2013-05-03
16,Andy Dick,Andy Dick,2354,2354,2341,13,wikipedia_edits_cumulative,2013-03-01,2013-05-03
16,D. L. Hughley,D. L. Hughley,558,558,546,12,wikipedia_edits_cumulative,2013-03-01,2013-05-03
16,Dorothy Hamill,Dorothy Hamill,398,398,382,16,wikipedia_edits_cumulative,2013-03-01,2013-05-03
16,Ingo Rademacher,Ingo Rademacher,226,226,217,9,wikipedia_edits_cumulative,2013-03-01,2013-05-03
16,Jacoby Jones,Jacoby Jones,377,377,332,45,wikipedia_edits_cumulative,2013-03-01,2013-05-03
16,Kellie Pickler,Kellie Pickler,3348,3348,3233,115,wikipedia_edits_cumulative,2013-03-01,2013-05-03
16,Lisa Vanderpump,Lisa Vanderpump,53,53,0,53,wikipedia_edits_cumulative,2013-03-01,2013-05-03
16,Sean Lowe,Sean Lowe (television personality),0,0,0,0,wikipedia_edits_cumulative,2013-03-01,2013-05-03
16,Victor Ortiz,Victor Ortiz,927,927,882,45,wikipedia_edits_cumulative,2013-03-01,2013-05-03
16,Wynonna Judd,Wynonna Judd,715,715,696,19,wikipedia_edits_cumulative,2013-03-01,2013-05-03
16,Zendaya,Zendaya,1637,1637,1578,59,wikipedia_edits_cumulative,2013-03-01,2013-05-03
17,Amber Riley,Amber Riley,696,696,634,62,wikipedia_edits_cumulative,2013-09-01,2013-11-10
17,Bill Engvall,Bill Engvall,667,667,656,11,wikipedia_edits_cumulative,2013-09-01,2013-11-10
17,Bill Nye,Bill Nye,3851,3851,3833,18,wikipedia_edits_cumulative,2013-09-01,2013-11-10
17,Brant Daugherty,Brant Daugherty,201,201,174,27,wikipedia_edits_cumulative,2013-09-01,2013-11-10
17,Christina Milian,Christina Milian,4660,4660,4594,66,wikipedia_edits_cumulative,2013-09-01,2013-11-10
17,Corbin Bleu,Corbin Bleu,5948,5948,5926,22,wikipedia_edits_cumulative,2013-09-01,2013-11-10
17,Elizabeth Berkley Lauren,Elizabeth Berkley,1030,1030,1016,14,wikipedia_edits_cumulative,2013-09-01,2013-11-10
