model,fold,season,n_items,nll,nll_per_item,spearman,kendall_tau,top1,top3_overlap
baseline_plus_partner,4,28,12,18.85936279296659,1.571613566080549,0.5104895104895106,0.36363636363636365,1,1
baseline_plus_partner,4,29,15,26.502167253166494,1.7668111502110997,0.5142857142857142,0.3714285714285715,0,1
baseline_plus_partner,5,8,13,21.981179711971926,1.6908599778439943,0.46703296703296704,0.3333333333333333,0,1
baseline_plus_partner,5,16,12,17.85614367994124,1.4880119733284367,0.8041958041958044,0.6363636363636364,0,1
baseline_plus_partner,5,22,12,19.762658748680238,1.6468882290566864,0.06293706293706294,0.030303030303030304,0,1
baseline_plus_partner,5,23,13,22.374535478110833,1.7211181137008333,0.47802197802197804,0.46153846153846156,0,1
baseline_plus_partner,5,32,14,24.0918284116004,1.7208448865428856,0.5208791208791208,0.38461538461538464,1,1
baseline_plus_partner,5,33,13,21.589553958838067,1.6607349199106205,0.47934066184600055,0.3636670334262918,0,1
baseline_plus_state,1,3,11,16.52373094006496,1.5021573581877237,0.5363636363636364,0.34545454545454546,0,1
baseline_plus_state,1,4,11,16.893740068413173,1.5357945516739249,0.4454545454545455,0.41818181818181815,0,1
baseline_plus_state,1,7,13,22.204530165702106,1.708040781977085,0.48901098901098905,0.28205128205128205,0,1
baseline_plus_state,1,11,12,18.713357605369684,1.5594464671141404,0.5104895104895106,0.3939393939393939,0,1
baseline_plus_state,1,13,12,20.223470678522123,1.6852892232101768,0.08391608391608392,0.09090909090909091,1,1
baseline_plus_state,1,21,13,20.76662950777219,1.5974330390593994,0.6043956043956044,0.4358974358974359,0,1
baseline_plus_state,1,27,13,22.535641626296652,1.7335108943305118,0.22527472527472528,0.20512820512820512,0,1
baseline_plus_state,2,1,6,6.422262373863202,1.0703770623105335,0.4857142857142857,0.3333333333333333,1,1
baseline_plus_state,2,9,16,29.938739317674436,1.8711712073546523,0.3941176470588235,0.2833333333333333,0,1
baseline_plus_state,2,14,12,18.86519479759731,1.5720995664664426,0.6433566433566434,0.45454545454545453,0,1
baseline_plus_state,2,20,12,19.146615783498135,1.5955513152915113,0.49650349650349657,0.3939393939393939,0,1
baseline_plus_state,2,24,12,17.962356791029972,1.4968630659191644,0.7762237762237764,0.6060606060606061,0,1
baseline_plus_state,2,30,15,26.129179096924084,1.7419452731282723,0.5357142857142856,0.39047619047619053,0,1
baseline_plus_state,2,34,14,23.650209330532846,1.689300666466632,0.6644668487276422,0.5082950505010434,0,1
