fold,model,n_seasons,nll_mean,nll_sd,spearman_mean,kendall_mean,top1,top3_overlap
5,baseline_plus_country,6,21.38311046973964,2.119048834999605,0.4857709387960718,0.37819562899448295,0.3333333333333333,1
1,full_minus_age,7,19.903861773671775,2.331292128452622,0.3211360068502926,0.2515484515484515,0.5714285714285714,0.8571428571428571
2,full_minus_age,7,20.902667017110716,7.706937196817229,0.4246333947967678,0.2850096496461212,0,0.8571428571428571
3,full_minus_age,7,20.24524146054295,5.4425655640900255,0.10769440643390223,0.06882561882561883,0.2857142857142857,0.8571428571428571
4,full_minus_age,7,22.139119377451173,3.2085098737709665,0.08848651348651351,0.06523000808715095,0,0.8571428571428571
5,full_minus_age,6,21.93905428240695,1.7311040958247896,0.1660098523607339,0.12570945129035954,0.16666666666666666,0.5
1,full_minus_industry,7,19.539452499856232,2.002664800345041,0.4855002140716427,0.35837495837495836,0.2857142857142857,1
2,full_minus_industry,7,20.338928035158894,7.236309794085807,0.45869831449279763,0.3330740906846242,0,1
3,full_minus_industry,7,19.37761413223976,4.785440244289295,0.422989055762165,0.3168442668442668,0.42857142857142855,1
4,full_minus_industry,7,20.85960686561977,2.9787467257495606,0.2843799058084772,0.1820750677893535,0,0.7142857142857143
5,full_minus_industry,6,21.184498940224508,2.4529319875494817,0.44283624461871296,0.3154111968053766,0.3333333333333333,1
1,full_minus_partner,7,19.67205835173618,2.3958193940918515,0.42802911374339947,0.3227439227439227,0.14285714285714285,1
2,full_minus_partner,7,20.294390902540474,7.525718885365656,0.5699450328226252,0.4207892125329258,0.14285714285714285,1
3,full_minus_partner,7,19.61372832497043,4.822789119107233,0.25264559578226153,0.1723467544459899,0.14285714285714285,0.7142857142857143
4,full_minus_partner,7,21.186145880007185,3.01293301395922,0.3533405121676653,0.25692959112981306,0.14285714285714285,0.7142857142857143
5,full_minus_partner,6,21.518276832549496,2.271764869673035,0.4118232345249976,0.31740846857028504,0.16666666666666666,0.8333333333333334
1,full_minus_state,7,19.655607495104945,2.4714142276576063,0.4109319252176395,0.29537129537129536,0.2857142857142857,1
2,full_minus_state,7,20.498332218357945,7.517003232743203,0.44269854258841335,0.3123723290575828,0.14285714285714285,1
3,full_minus_state,7,19.7243568234715,5.287574925945356,0.2554791147228122,0.18806193806193805,0.2857142857142857,0.8571428571428571
4,full_minus_state,7,21.407703091296607,2.789915233767901,0.338265306122449,0.21255886970172683,0.14285714285714285,0.8571428571428571
5,full_minus_state,6,21.30926355822208,2.134122882220049,0.46518814560570204,0.36525097687751995,0.16666666666666666,1
1,full_minus_country,7,19.494239898731635,2.352375966883254,0.5027401170258313,0.3722277722277722,0.42857142857142855,1
2,full_minus_country,7,20.194533871642548,7.431850028525761,0.5269886194880606,0.38164264481492954,0.14285714285714285,1
3,full_minus_country,7,19.524464747002106,5.002155731430393,0.2961139700635499,0.1984071484071484,0.42857142857142855,0.8571428571428571
4,full_minus_country,7,21.246458641749495,2.8894352239541794,0.30334308548594263,0.21445221445221446,0,0.8571428571428571
5,full_minus_country,6,21.48053749246759,2.320114500078277,0.37041309289204744,0.29248748318457307,0.16666666666666666,0.8333333333333334
1,intercept_plus_age,7,19.874062778690753,2.0859980415413806,0.36306747484403107,0.25805995124066167,0.14285714285714285,1
2,intercept_plus_age,7,20.655960442435628,7.461889408042437,0.42382860843053394,0.32694130080303274,0.2857142857142857,1
3,intercept_plus_age,7,19.426836279315527,4.944023151874128,0.43957194964598983,0.326712786541434,0.14285714285714285,0.7142857142857143
4,intercept_plus_age,7,20.83777913756193,2.9543484902347554,0.3322966962252173,0.2676248317327528,0,0.8571428571428571
5,intercept_plus_age,6,21.084491724227597,2.3713032175868376,0.6006120496805688,0.47290266449307305,0.5,1
1,intercept_plus_industry,7,20.23035718751756,2.43965816669148,0.09195868866242417,0.0780908323807218,0.14285714285714285,0.8571428571428571
2,intercept_plus_industry,7,21.3782159869722,7.815763963722081,0.1598484998528053,0.09929265150695865,0.42857142857142855,0.7142857142857143
3,intercept_plus_industry,7,20.347844390799768,5.53268394503766,0.051723944843799136,0.049309589262340574,0.14285714285714285,1
4,intercept_plus_industry,7,22.175340980787546,3.239149748114605,-0.09819142184345311,-0.06730984272376037,0.14285714285714285,0.5714285714285714
5,intercept_plus_industry,6,22.146885656133794,1.4700193571773763,-0.07081850866998231,-0.08102126169089935,0,0.8333333333333334
